,village,village_id,project_code,lat,long
0,Buzi,36050201,1014107,-2.42056,28.9662
1,Buzi,36050201,1014106,-2.42486,28.95726
2,Gipfundo,41040304,1007651,-1.72053,30.08124
3,,,1012493,-1.65595,30.078840000000003
4,Gisizi,28030402,1014318,-1.870868,29.877686
5,Ruheka,28030405,1014319,-1.883957,29.850548
6,Raro,28070106,1014327,-1.896261,29.951448
7,Kinkeri,28020104,1014324,-1.977729,29.850108
8,Nyenyeri,28020203,1014321,-1.939737,29.843622
9,Karama,28010103,1014325,-1.980126,29.905502
10,Bunyonga,28020201,1014323,-1.939927,29.818313
11,Bunyonga,28020201,1014322,-1.934919,29.819397
12,Munyegera,28030102,1014320,-1.915772,29.866533
13,Rugobagoba,28010306,1014326,-2.001263,29.888983000000003
14,Kagarama,28010101,1014328,-1.984548,29.931428000000004
15,Fukwe,28070102,1014329,-1.872181,29.92942
16,Rubare,28110305,1014331,-1.908306,29.881692
17,Rushikiri,28110404,1014330,-1.937733,29.9489
18,,,1014594,-1.7801900000000002,30.14043
19,Kibobo,12030303,1014613,-1.864099,30.233290000000004
20,,,1007653,-1.848168,29.991187
21,Ryamugunga,22100210,1013578,-2.4855,29.84336
22,Rwabiyombe,55010111,1014466,-2.365716,30.542117
23,Rebero,51010203,1014605,-1.893193,30.280679
24,Rugobagoba,51050505,1014461,-2.02333,30.43209
25,Nyagatugunda,55090310,1014470,-2.1496,30.66541
26,Kabonero,51020202,1014611,-1.965611,30.337764
27,Marembo,51100505,1014616,-1.970761,30.232989
28,,,1014604,-1.7196349999999998,30.366374
29,Nyakajuri,57060306,1014599,-2.22393,30.07617
30,Gatare,51050502,1014463,-2.009512,30.421038
31,Rugarama,57060307,1014596,-2.22306,30.056
32,,,1014595,-1.79011,30.13083
33,Nyabaranga,57130503,1014600,-2.29153,30.05912
34,Rugarama,57060307,1014598,-2.2052400000000003,30.078640000000004
35,Kinunga,51100504,1014606,-1.989138,30.263844
36,,,1014467,-2.371645,30.539508
37,Rwayikona,55090512,1014474,-2.164154,30.695954
38,Rwamivu,53130605,1014603,-1.713697,30.358427
39,Rebero,51010203,1014612,-1.896111,30.278146000000003
40,,,1014487,-2.1664,30.78863
41,Kabare,55030403,1014476,-2.332831,30.652159
42,Barisuka,55090501,1014469,-2.208786,30.695041
43,Murama,55010208,1014465,-2.3152,30.470953
44,Gatari,55030402,1014475,-2.3592,30.677613
45,Mugatare,55010409,1014464,-2.296406,30.52359
46,Bugarura,55120302,1014473,-2.17478,30.76704
47,Kabigembe i,55100401,1014468,-2.09732,30.701159000000004
48,Nyarubuye i,55120307,1014462,-2.184027,30.767541
49,Mitsindo,55100205,1014480,-2.7278,30.72778
50,Mitsindo,55100205,1014482,-2.1486,30.72617
51,Rurenge i,55120107,1014485,-2.2107900000000003,30.73431
52,Bingaro,55090101,1014472,-2.18715,30.62265
53,Nyabayama,55120206,1014479,-2.2136,30.77847
54,,,1014486,-2.2099,30.78795
55,Mitsindo,55100205,1014481,-2.1403,30.72741
56,Munini,51050103,1014477,-1.99173,30.448175
57,Saruhembe,55060308,1014483,-2.2318,30.8131
58,Nyagasenyi,55070107,1014484,-2.2073,30.79185
59,Rutaka,51050105,1014478,-1.99518,30.47381
60,Nyamiyaga,22100407,1013577,-2.52882,29.82786
61,,51020704,1014608,-1.918336,30.273599
62,Karambo,51020705,1014607,-1.926646,30.276659
63,Rusayo,36010113,1007661,-2.697308,29.029517
64,Kajevuba,12060403,1014614,-1.84731,29.99128
65,Rwarugaju,51020203,1014610,-1.98212,30.343604
66,Tubumba,57110410,1014597,-2.22306,30.0561
67,Nombe,33100705,1014004,-1.70533,29.30478
68,Gacyamo,36050202,1014108,-2.41855,28.96946
69,Gasumo,36020406,1014109,-2.58868,29.11247
70,Gasumo,36020406,1014104,-2.58744,29.10611
71,Kiziguro,33100607,1014005,-1.70002,29.34484
72,Kanoga,36050702,1014105,-2.42715,28.95369
73,Kigarama,36020408,1014103,-2.55734,29.0933
74,Rukurazo,27090402,1009445,-2.115072,29.700843
75,Kagogo,53010403,1014602,-1.758415,30.255139
76,Rusave,51100208,1014609,-2.013575,30.254667
77,Kinteko,57150102,1014619,-2.261622,29.988408000000003
78,Ruhamagariro,22060408,1013580,-2.5093400000000003,29.90858
79,Rukoni,22100110,1013576,-2.51384,29.88201
80,Gihinga,42130402,1009329,-1.829439,29.882134000000004
81,Gatare,22060501,1013575,-2.49883,29.927
82,Runyinya,22010305,1013579,-2.49034,29.87577000000001
83,Gakomeye,22060101,1013572,-2.40829,29.9468
84,Rebero,22060106,1013571,-2.46509,29.94044
85,Kajevuba,12060403,1007652,-1.857823,29.992177
86,Mugobati,35130304,1007429,-1.9264167,29.5062222
87,Buyoga,27020201,1009296,-1.930371,29.779313
88,Cyuzu,27030201,1009426,-1.85109,29.666005
89,,,1007330,-2.038712,30.18642800000001
90,Gakomeye,22060101,1013573,-2.434,29.93238
91,,,1007428,-1.929636,29.799125
92,,27050207,1007403,-2.076671,29.716686
93,Munyegera,35030404,1007431,-1.8153056,29.578056
94,Nyabiranga,36120205,1007658,-2.396098,28.927481
95,Nyamigende,57020103,1007331,-2.095311,30.245678
96,Gahosha,57150301,1014618,-2.248912,30.019451
97,Mmbo-Kabimba,,1014382,-2.160985,30.551312
98,Yaramba,23080604,1007571,-2.7438056,29.670805600000005
99,Rushwati,36020306,1014169,-2.58421,29.14232
100,Uwinzovu,36030507,1014167,-2.58127,28.15265
101,Munkamba,36020303,1014168,-2.57245,29.15343
102,Rwasaburo,56120306,1014384,-2.157735,30.532793
103,Isangano,52110403,1014387,-1.39413,30.28182
104,Bitare,23080101,1007549,-2.6873400000000003,29.65577
105,Kirwa,23080602,1007544,-2.71578,29.67607000000001
106,,,1014166,-2.44246,28.9333
107,Rwega,36050703,1014165,-2.4334,28.933740000000004
108,Kabeza,52110504,1014389,-1.36432,30.28194
109,Sheke,23080103,1007550,-2.67224,29.65063
110,,,1007654,-2.594639,28.981427000000004
111,Akabaya,56040501,1014388,-2.1866220000000003,30.483668
112,Kabeza,52010104,1014394,-1.40815,30.189856
113,Nyagasharara,52020410,1014391,-1.336893,30.213863
114,Kabaya,52040301,1014397,-1.436156,30.307663
115,Kukimpundu,52020407,1014390,-1.340982,30.219604
116,Cyamunyana,52130702,1014404,-1.163172,30.476046000000004
117,,,1014412,-1.684211,30.350028
118,Kajevuba,52040403,1014398,-1.4428040000000002,30.274319
119,Kagogo,52040402,1014399,-1.471113,30.285693
120,Karubungo,53030305,1014411,-1.633869,30.338833
121,Nyagacyamo,53030307,1014414,-1.6296,30.343077
122,Nyabwongoroka,52050511,1014395,-1.432879,30.133993
123,,,1014407,-1.286986,30.550523
124,Uwinkiko,52120904,1014406,-1.206567,30.347849
125,Cyenjonjo i,52120101,1014405,-1.239774,30.344471
126,Rugenge,56040203,1014421,-2.234163,30.513445
127,Gakirage,52020601,1014416,-1.365045,30.148672
128,,,1014419,-1.576221,30.201582
129,Rugenge,56040203,1014422,-2.2381330000000004,30.513978
130,Nshuri,52140204,1007458,-1.308813,30.314539
131,Gakiri,53030103,1014420,-1.629849,30.379612
132,Mbabe,13080503,1007329,-2.028061,30.173231
133,Cyankongi,13080601,1007328,-2.048451,30.191276
134,Gikana,57020201,1007327,-2.072628,30.204381
135,Gasiza,35050602,1010941,-1.83113,29.62303
136,Rwampara,11090404,1014565,-1.971782,30.063077000000003
137,Kivu,13070403,1014566,-1.98426,30.06329
138,Sanza,35090605,1007420,-1.91351,29.57821
139,Kanyya-Kanyenyeri,,1010406,-1.75995,29.66276667
140,Akabaya,56040501,1014385,-2.181385,30.479072
141,Rwasaburo,56120306,1014383,-2.144405,30.531062
142,Isangano,52020103,1014393,-1.349094,30.202762
143,Kavumu,52020705,1014392,-1.393255,30.162868
144,Byimana i,52060201,1014403,-1.109384,30.433798
145,,,1014400,-1.461997,30.264872
146,Agasasa,52040101,1014401,-1.456525,30.280659000000004
147,Kavumu,52020705,1014396,-1.391233,30.171654
148,Byimana,53140402,1014410,-1.660292,30.461698
149,Bitaba,53110201,1014409,-1.5306879999999998,30.210441
150,Byimana,52060301,1014402,-1.0667870000000002,30.432849
151,Matereza,52020604,1014415,-1.36087,30.181669
152,Bushoga,52100201,1007454,-1.367991,30.288805
153,Nyakagezi,56040105,1014408,-2.229162,30.514947
154,Bwicaro,53110203,1014418,-1.564462,30.194624
155,Byimana,53140402,1014413,-1.658066,30.462945
156,Karama centre,52020704,1014417,-1.397253,30.163373
157,Kamushi,21100502,1012830,-2.33542,29.67251
158,Bweramana,21060102,1012832,-2.3098,29.69524
159,Nyabinyenga,21030305,1012831,-2.31422,29.69336
160,Rambura,33100706,1014006,-1.69435,29.30102
161,Kamanura,36160401,1013926,-2.53862,28.96073
162,Akabacuzi,22070501,1013922,-2.69786,29.90142
163,Kamanura,36160401,1013918,-2.55358,28.95937
164,Kabumbwe,36160102,1013925,-2.55375,28.94637
165,Gasenyi,33100602,1007603,-1.699166,29.336944
166,Nyabikenke,31010104,1013864,-2.07676,29.38212
167,Gisayo,31010204,1013865,-2.06989,29.342
168,Cyarwa,21100501,1007525,-2.3297790000000003,29.668688
169,Nyankunamirwa,21060311,1007523,-2.2801400000000003,29.72578
170,,,1007527,-2.30422,29.65685
171,Kabeza,21030106,1012380,-2.266448,29.647273
172,Rudogo,45110405,1010844,-1.729575,30.231912
173,Mugera,45040102,1010839,-1.506683,30.023419
174,Gatare,45070101,1010840,-1.455716,30.0494
175,Rubindi,45080106,1010849,-1.53941,30.00825
176,Rugaragara,45110103,1010847,-1.701199,30.209405
177,Rugarama,45050106,1010845,-1.7724099999999998,30.22087
178,Gitaba,42100302,1013792,-1.72848,29.76589
179,Nyagasozi,42150405,1013788,-1.72692,29.72306
