,ADM1_NAME,ADM2_NAME,Agro - Crop&Livestock,Agro - Food&Cash Crop,AgroCmrc - Trade/Wholesale,Commerce - Business/Trading,Commerce - Petty Trade,Labor - Artisan/Skilled,Labor - Daily/Unskilled - Agro,Other,district_id,district
0,#Butare,#Huye,3.42290846,44.24461159,3.627016331,6.1726137560000005,5.29167996,4.064222518,31.03649328,2.1404541040000002,24,Huye
1,#Gisenyi,#Rubavu,5.559485826,22.54841945,13.57391708,4.623370525,5.332477488,5.042172169,38.79354131,4.526616143,33,Rubavu
2,#Kibungo,#Kayonza,4.672436927,50.54221903,5.692344954,1.1902515740000001,3.229973362,1.9963674480000002,23.58653163,9.089875071,54,Kayonza
3,#Kibuye,#Rutsiro,13.87008956,44.53317786,2.752273503,0.38870013299999995,2.106052923,2.345844701,32.84114742,1.1627138940000001,32,Rutsiro
4,#Umutara,#Nyagatare,18.33011825,26.28969526,19.71283967,2.4802969740000003,2.759679848,1.138147791,27.33887157,1.950350635,52,Nyagatare
5,$East/Iburasirazuba,$Bugesera,9.246054742,70.96585599,0.7882169170000001,1.907635365,,0.6928503559999999,13.08813243,3.3112541980000003,57,Bugesera
6,$East/Iburasirazuba,$Gatsibo,9.974678221,65.92548869,1.299100304,1.091147088,1.037015534,2.620291691,16.2028715,1.849406976,53,Gatsibo
7,$East/Iburasirazuba,$Kirehe,28.87272801,55.13363096,3.320416934,1.264829535,0.7791733940000001,2.044424467,5.883126055,2.701670641,55,Kirehe
8,$East/Iburasirazuba,$Ngoma,8.259952907999999,64.31155851,1.302460715,2.971028434,4.820994459,1.496521697,14.87014269,1.967340591,56,Ngoma
9,$East/Iburasirazuba,$Rwamagana,19.2876986,42.96548027,4.154076197,3.7283148039999996,5.408280085,0.653240697,22.04857845,1.7543308869999998,51,Rwamagana
10,$North/Amajyaruguru,$Burera,15.18062916,66.31106709,3.9842459519999998,0.40123549299999994,0.8680398640000001,1.27042098,9.64838202,2.3359794380000003,44,Burera
11,$North/Amajyaruguru,$Gakenke,19.09347674,59.85571466,2.002994061,1.7097418340000001,0.398441252,1.705897292,12.12188649,3.11184767,42,Gakenke
12,$North/Amajyaruguru,$Gicumbi,22.50147387,46.87149308,1.9782707019999999,4.10150322,2.369818264,,20.53892951,1.638511354,45,Gicumbi
13,$North/Amajyaruguru,$Musanze,11.76561739,31.76080024,3.244477985,6.749545922,5.547788587,1.342200649,32.73204056,6.857528672999999,43,Musanze
14,$North/Amajyaruguru,$Rulindo,16.65184684,35.02858699,0.615780903,2.641860387,3.079436063,1.624357024,32.27156957,8.086562212999999,41,Rulindo
15,$South/Amajyepfo,$Gisagara,6.981938982000001,51.04067011,2.09501232,0.792273798,1.219079202,,36.15025043,1.7207751669999998,22,Gisagara
16,$South/Amajyepfo,$Kamonyi,14.52875491,48.02005901,6.001212413999999,1.9824906969999998,1.8612441880000001,0.31402720300000003,24.99328521,2.298926363,28,Kamonyi
17,$South/Amajyepfo,$Muhanga,7.317987461,78.4075995,1.629714974,0.40379729700000005,0.445656008,0.427465967,7.847129612000001,3.520649181,27,Muhanga
18,$South/Amajyepfo,$Nyamagabe,13.76659664,49.23077109,4.215963161,1.9206165080000002,0.7979103240000001,6.172747437999999,21.88410357,2.0112912730000003,25,Nyamagabe
19,$South/Amajyepfo,$Nyanza,5.875104676,67.97636242,3.135915948,0.5700922070000001,1.390910897,1.77756573,16.14640255,3.127645573,21,Nyanza
20,$South/Amajyepfo,$Nyaruguru,14.6156465,59.53447225,3.258638784,1.226680761,0.881847685,2.525330269,10.67322641,7.284157337000001,23,Nyaruguru
21,$South/Amajyepfo,$Ruhango,23.03610012,52.74752422,4.0757435939999995,3.8381132539999996,,0.80654735,15.14447173,0.35149974100000003,26,Ruhango
22,$West/Iburengerazuba,$Karongi,29.617743100000006,46.6152265,2.288559293,1.562364644,1.964330822,0.78498622,13.75200301,3.4147864119999998,31,Karongi
23,$West/Iburengerazuba,$Ngororero,3.5072342219999997,68.39185932,1.5652570209999999,1.2784393809999999,1.21812837,0.451858269,22.14985857,1.437364855,35,Ngororero
24,$West/Iburengerazuba,$Nyabihu,1.00791121,32.15026302,10.04685039,2.543885707,4.776823254,1.639271701,44.90065119,2.934343527,34,Nyabihu
25,$West/Iburengerazuba,$Nyamasheke,38.59302609,34.16022695,1.681092505,1.831011956,1.2032926320000001,2.0245445369999997,20.22886244,0.277942891,37,Nyamasheke
26,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.6376426960000003,1.7318299819999998,3.7548162510000003,1.315136371,12.79027592,2.0306916580000003,36,Rusizi
27,Kigali City/Umujyi wa Kigali,$Gasabo,7.47164345,15.15972158,1.115968881,18.80309273,7.638769469,1.814692899,37.45753801,10.53857297,12,Gasabo
28,Kigali City/Umujyi wa Kigali,Kicukiro,0.893301762,5.718570109,4.976355605,35.91728957,10.31645076,4.828594262,22.51845986,14.83097807,13,Kicukiro
29,Kigali City/Umujyi wa Kigali,Nyarugenge,0.455347559,15.32522192,4.528376625,18.33034825,20.75908434,12.15904014,12.86000404,15.58257713,11,Nyarugenge
