,country,province,district,district_id_x,sector,sector_id,cell,cell_id,village,village_id,name,project_code,type,stage,sub_stage,Individuals_directly_served,span,lat,long,community_served_1,community_served_1_id,community_served_2,community_served_2_id,community_served_3,community_served_3_id,community_served_4,community_served_4_id,community_served_5,community_served_5_id,form,case_safe_id,opportunity_id,ADM1_NAME,ADM2_NAME,Agro - Crop&Livestock,Agro - Food&Cash Crop,AgroCmrc - Trade/Wholesale,Commerce - Business/Trading,Commerce - Petty Trade,Labor - Artisan/Skilled,Labor - Daily/Unskilled - Agro,Other,Gender_parity_index_for_net_primary_school_attendance,Gender_parity_index_for_net_secondary_school_attendance,Households with electricity,Infant mortality rate,Malaria_prevalence_according_to_RDT,Net_primary_school_attendance_rate_female,Net_primary_school_attendance_rate_male,Net_primary_school_attendance_rate_total,Under_five_mortality_rate,Women_who_are_literate,Women_with_secondary_or_higher_education
0,Rwanda,Western Province,Rusizi,36,Giheke,3605.0,Gakomeye,360502.0,Buzi,36050201.0,Buzi,1014107,Suspended,Rejected,Technical,0,0,-2.42056,28.9662,Buzi,36050201.0,Kabuga,36050203.0,Kagarama,36050204.0,Gacyamo,36050202.0,Gasheke,,Project Assessment - 2018.10.29,a1if1000002e51bAAA,006f100000d1fk1,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
1,Rwanda,Western Province,Rusizi,36,Giheke,3605.0,Gakomeye,360502.0,Buzi,36050201.0,Kamigisha,1014106,Suspended,Rejected,Technical,0,0,-2.42486,28.95726,Kabuga,36050203.0,Buzi,36050201.0,Gacyamo - Gasheke,36050202.0,Kagarama,36050204.0,Kanoga,,Project Assessment - 2018.10.29,a1if1000002e51WAAQ,006f100000d1fjw,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
2,Rwanda,Western Province,Rusizi,36,Bugarama,3601.0,Nyange,360101.0,Rusayo,36010113.0,Rusayo,1007661,Suspension,Rejected,Technical,17270,25,-2.697308,29.029517,Pera cell,360102.0,Kizura cell,,,,,,,,Project Assessment - 2018.12.13,a1if1000002qz1JAAQ,006f100000a86ID,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
3,Rwanda,Western Province,Rusizi,36,Giheke-Bushenge,3605.0,Gakomeye-Gasheke,360502.0,Gacyamo,36050202.0,Gacyamo,1014108,Suspension,Rejected,Technical,0,0,-2.41855,28.96946,Gacyamo,36050202.0,Buzi,36050201.0,Kabuga,36050203.0,Kagarama,36050204.0,Gasheke,,Project Assessment - 2018.10.29,a1if1000002e51gAAA,006f100000d1fk6,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
4,Rwanda,Western Province,Rusizi,36,Butare,3602.0,Rwambogo,360204.0,Gasumo,36020406.0,Nyagatango,1014109,Suspended,Rejected,Technical,0,0,-2.58868,29.11247,Gasumo,36020406.0,Kenya,,Ndengerezi,,Rushwati,,,,Project Assessment - 2018.10.29,a1if1000002e51lAAA,006f100000d1fkB,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
5,Rwanda,Western Province,Rusizi,36,Butare,3602.0,Rwambogo,360204.0,Gasumo,36020406.0,Rwengenzi,1014104,Suspended,Identified,Requested,0,0,-2.58744,29.10611,Gasumo,36020406.0,Kenya - Rushwati,,Ndengerezi - Kirwano,,Nyaruteja,36020409.0,Kigarama - Cyaruhuza,36020408.0,Project Assessment - 2018.10.29,a1if1000002e51MAAQ,006f100000d1fjm,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
6,Rwanda,Western Province,Rusizi,36,Giheke,3605.0,Rwega,360507.0,Kanoga,36050702.0,Nyakabanda,1014105,Suspended,Rejected,Technical,0,0,-2.42715,28.95369,Kanoga,36050702.0,Kagarama,,Kabuga,,Buzi,,Gacyamo - Gasheke,,Project Assessment - 2018.10.29,a1if1000002e51RAAQ,006f100000d1fjr,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
7,Rwanda,Western Province,Rusizi,36,Butare,3602.0,Rwambogo,360204.0,Kigarama,36020408.0,Kigarama,1014103,Suspended,Rejected,Technical,0,0,-2.55734,29.0933,Kigarama,36020408.0,Bisengo - Nyaruteja,36020401.0,Cyaruhiza - Cyijuru,36020404.0,Murambi - Gitega,,Buganzo - Gasine,,Project Assessment - 2018.10.29,a1if1000002e51HAAQ,006f100000d1fjh,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
8,Rwanda,Western Province,Rusizi,36,Nkanka,3612.0,Kamanyenga,361202.0,Nyabiranga,36120205.0,Nyabiranka,1007658,,Rejected,Technical,0,150,-2.396098,28.927481,,,,,,,,,,,Project Assessment - 2018.12.13,a1if1000002qz1OAAQ,006f100000a86IA,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
9,Rwanda,Western Province,Rusizi,36,Butare,3602.0,Nyamihanda,360203.0,Rushwati,36020306.0,Rushwati,1014169,Suspended,Rejected,Technical,0,0,-2.58421,29.14232,Rushwati,36020306.0,Gasumo,,Karambo,,Uwinzovu-Ndengerezi,36020305.0,Kirwano-Munkamba,36020302.0,Project Assessment - 2018.10.29,a1if1000002e6r5AAA,006f100000d1hUW,$West/Iburengerazuba,$Rusizi,8.71639338,66.02321374,3.637642696,1.7318299819999998,3.754816251,1.315136371,12.79027592,2.0306916580000003,1.02,1.33,19.5,41.0,2.4,92.8,91.1,92.0,62.0,77.9,21.7
